Pol Year,Pol Term,Prem Term,Value
1,25,25,1
2,25,25,0.5
3,25,25,0.2
4,25,25,0.2
5,25,25,0.2
6,25,25,0.2
7,25,25,0.2
8,25,25,0.2
9,25,25,0.2
10,25,25,0.2
11,25,25,0
12,25,25,0
13,25,25,0
14,25,25,0
15,25,25,0
16,25,25,0
17,25,25,0
18,25,25,0
19,25,25,0
20,25,25,0
21,25,25,0
22,25,25,0
23,25,25,0
24,25,25,0
25,25,25,0
26,25,25,0
27,25,25,0
28,25,25,0
29,25,25,0
30,25,25,0
31,25,25,0
32,25,25,0
33,25,25,0
34,25,25,0
35,25,25,0
36,25,25,0
37,25,25,0
38,25,25,0
39,25,25,0
40,25,25,0
41,25,25,0
42,25,25,0
43,25,25,0
44,25,25,0
45,25,25,0
46,25,25,0
47,25,25,0
48,25,25,0
49,25,25,0
50,25,25,0
51,25,25,0
52,25,25,0
53,25,25,0
54,25,25,0
55,25,25,0
56,25,25,0
57,25,25,0
58,25,25,0
59,25,25,0
60,25,25,0
61,25,25,0
62,25,25,0
63,25,25,0
64,25,25,0
65,25,25,0
66,25,25,0
67,25,25,0
68,25,25,0
69,25,25,0
70,25,25,0
71,25,25,0
72,25,25,0
73,25,25,0
74,25,25,0
75,25,25,0
76,25,25,0
77,25,25,0
78,25,25,0
79,25,25,0
80,25,25,0
81,25,25,0
82,25,25,0
83,25,25,0
84,25,25,0
85,25,25,0
86,25,25,0
87,25,25,0
88,25,25,0
89,25,25,0
90,25,25,0
91,25,25,0
92,25,25,0
93,25,25,0
94,25,25,0
95,25,25,0
96,25,25,0
97,25,25,0
98,25,25,0
99,25,25,0
100,25,25,0
101,25,25,0
102,25,25,0
103,25,25,0
104,25,25,0
105,25,25,0
106,25,25,0
107,25,25,0
108,25,25,0
109,25,25,0
110,25,25,0
111,25,25,0
112,25,25,0
113,25,25,0
114,25,25,0
115,25,25,0
116,25,25,0
117,25,25,0
118,25,25,0
119,25,25,0
120,25,25,0
1,55,55,1
2,55,55,0.5
3,55,55,0.2
4,55,55,0.2
5,55,55,0.2
6,55,55,0.2
7,55,55,0.2
8,55,55,0.2
9,55,55,0.2
10,55,55,0.2
11,55,55,0
12,55,55,0
13,55,55,0
14,55,55,0
15,55,55,0
16,55,55,0
17,55,55,0
18,55,55,0
19,55,55,0
20,55,55,0
21,55,55,0
22,55,55,0
23,55,55,0
24,55,55,0
25,55,55,0
26,55,55,0
27,55,55,0
28,55,55,0
29,55,55,0
30,55,55,0
31,55,55,0
32,55,55,0
33,55,55,0
34,55,55,0
35,55,55,0
36,55,55,0
37,55,55,0
38,55,55,0
39,55,55,0
40,55,55,0
41,55,55,0
42,55,55,0
43,55,55,0
44,55,55,0
45,55,55,0
46,55,55,0
47,55,55,0
48,55,55,0
49,55,55,0
50,55,55,0
51,55,55,0
52,55,55,0
53,55,55,0
54,55,55,0
55,55,55,0
56,55,55,0
57,55,55,0
58,55,55,0
59,55,55,0
60,55,55,0
61,55,55,0
62,55,55,0
63,55,55,0
64,55,55,0
65,55,55,0
66,55,55,0
67,55,55,0
68,55,55,0
69,55,55,0
70,55,55,0
71,55,55,0
72,55,55,0
73,55,55,0
74,55,55,0
75,55,55,0
76,55,55,0
77,55,55,0
78,55,55,0
79,55,55,0
80,55,55,0
81,55,55,0
82,55,55,0
83,55,55,0
84,55,55,0
85,55,55,0
86,55,55,0
87,55,55,0
88,55,55,0
89,55,55,0
90,55,55,0
91,55,55,0
92,55,55,0
93,55,55,0
94,55,55,0
95,55,55,0
96,55,55,0
97,55,55,0
98,55,55,0
99,55,55,0
100,55,55,0
101,55,55,0
102,55,55,0
103,55,55,0
104,55,55,0
105,55,55,0
106,55,55,0
107,55,55,0
108,55,55,0
109,55,55,0
110,55,55,0
111,55,55,0
112,55,55,0
113,55,55,0
114,55,55,0
115,55,55,0
116,55,55,0
117,55,55,0
118,55,55,0
119,55,55,0
120,55,55,0
