#Table Type: User Defined Table
#Table Category: death_ben
#Table Details: Death Benefit UDT
Year,multiple,amount,inflator
1,1,100000,0.03
2,1,100000,0.03
3,1,100000,0.03
4,1,100000,0.03
5,1,100000,0.03
6,1,100000,0.03
7,1,100000,0.03
8,1,100000,0.03
9,1,100000,0.03
10,1,100000,0.03
11,1,100000,0.03
12,1,100000,0.03
13,1,100000,0.03
14,1,100000,0.03
15,1,100000,0.03
16,1,100000,0.03
17,1,100000,0.03
18,1,100000,0.03
19,1,100000,0.03
20,1,100000,0.03
21,1,100000,0.03
22,1,100000,0.03
23,1,100000,0.03
24,1,100000,0.03
25,1,100000,0.03
26,1,100000,0.03
27,1,100000,0.03
28,1,100000,0.03
29,1,100000,0.03
30,1,100000,0.03
31,1,100000,0.03
32,1,100000,0.03
33,1,100000,0.03
34,1,100000,0.03
35,1,100000,0.03
36,1,100000,0.03
37,1,100000,0.03
38,1,100000,0.03
39,1,100000,0.03
40,1,100000,0.03
41,1,100000,0.03
42,1,100000,0.03
43,1,100000,0.03
44,1,100000,0.03
45,1,100000,0.03
46,1,100000,0.03
47,1,100000,0.03
48,1,100000,0.03
49,1,100000,0.03
50,1,100000,0.03
51,1,100000,0.03
52,1,100000,0.03
53,1,100000,0.03
54,1,100000,0.03
55,1,100000,0.03
56,1,100000,0.03
57,1,100000,0.03
58,1,100000,0.03
59,1,100000,0.03
60,1,100000,0.03
61,1,100000,0.03
62,1,100000,0.03
63,1,100000,0.03
64,1,100000,0.03
65,1,100000,0.03
66,1,100000,0.03
67,1,100000,0.03
68,1,100000,0.03
69,1,100000,0.03
70,1,100000,0.03
71,1,100000,0.03
72,1,100000,0.03
73,1,100000,0.03
74,1,100000,0.03
75,1,100000,0.03
76,1,100000,0.03
77,1,100000,0.03
78,1,100000,0.03
79,1,100000,0.03
80,1,100000,0.03
81,1,100000,0.03
82,1,100000,0.03
83,1,100000,0.03
84,1,100000,0.03
85,1,100000,0.03
86,1,100000,0.03
87,1,100000,0.03
88,1,100000,0.03
89,1,100000,0.03
90,1,100000,0.03
91,1,100000,0.03
92,1,100000,0.03
93,1,100000,0.03
94,1,100000,0.03
95,1,100000,0.03
96,1,100000,0.03
97,1,100000,0.03
98,1,100000,0.03
99,1,100000,0.03
100,1,100000,0.03
101,1,100000,0.03
102,1,100000,0.03
103,1,100000,0.03
104,1,100000,0.03
105,1,100000,0.03
106,1,100000,0.03
107,1,100000,0.03
108,1,100000,0.03
109,1,100000,0.03
110,1,100000,0.03
111,1,100000,0.03
112,1,100000,0.03
113,1,100000,0.03
114,1,100000,0.03
115,1,100000,0.03
116,1,100000,0.03
117,1,100000,0.03
118,1,100000,0.03
119,1,100000,0.03
120,1,100000,0.03
