#Table Type: Policy Year
#Table Category: expense
#Table Details: Expense Table
Year,acq_exp_per_pol,acq_exp_perc_prem,maint_exp_per_pol,maint_exp_perc_prem
1,200,0.1,50,0.02
2,100,0,50,0.02
3,0,0,50,0.02
4,0,0,50,0.02
5,0,0,50,0.02
6,0,0,50,0.02
7,0,0,50,0.02
8,0,0,50,0.02
9,0,0,50,0.02
10,0,0,50,0.02
11,0,0,50,0.02
12,0,0,50,0.02
13,0,0,50,0.02
14,0,0,50,0.02
15,0,0,50,0.02
16,0,0,50,0.02
17,0,0,50,0.02
18,0,0,50,0.02
19,0,0,50,0.02
20,0,0,50,0.02
21,0,0,50,0.02
22,0,0,50,0.02
23,0,0,50,0.02
24,0,0,50,0.02
25,0,0,50,0.02
26,0,0,50,0.02
27,0,0,50,0.02
28,0,0,50,0.02
29,0,0,50,0.02
30,0,0,50,0.02
31,0,0,50,0.02
32,0,0,50,0.02
33,0,0,50,0.02
34,0,0,50,0.02
35,0,0,50,0.02
36,0,0,50,0.02
37,0,0,50,0.02
38,0,0,50,0.02
39,0,0,50,0.02
40,0,0,50,0.02
41,0,0,50,0.02
42,0,0,50,0.02
43,0,0,50,0.02
44,0,0,50,0.02
45,0,0,50,0.02
46,0,0,50,0.02
47,0,0,50,0.02
48,0,0,50,0.02
49,0,0,50,0.02
50,0,0,50,0.02
51,0,0,50,0.02
52,0,0,50,0.02
53,0,0,50,0.02
54,0,0,50,0.02
55,0,0,50,0.02
56,0,0,50,0.02
57,0,0,50,0.02
58,0,0,50,0.02
59,0,0,50,0.02
60,0,0,50,0.02
61,0,0,50,0.02
62,0,0,50,0.02
63,0,0,50,0.02
64,0,0,50,0.02
65,0,0,50,0.02
66,0,0,50,0.02
67,0,0,50,0.02
68,0,0,50,0.02
69,0,0,50,0.02
70,0,0,50,0.02
71,0,0,50,0.02
72,0,0,50,0.02
73,0,0,50,0.02
74,0,0,50,0.02
75,0,0,50,0.02
76,0,0,50,0.02
77,0,0,50,0.02
78,0,0,50,0.02
79,0,0,50,0.02
80,0,0,50,0.02
81,0,0,50,0.02
82,0,0,50,0.02
83,0,0,50,0.02
84,0,0,50,0.02
85,0,0,50,0.02
86,0,0,50,0.02
87,0,0,50,0.02
88,0,0,50,0.02
89,0,0,50,0.02
90,0,0,50,0.02
91,0,0,50,0.02
92,0,0,50,0.02
93,0,0,50,0.02
94,0,0,50,0.02
95,0,0,50,0.02
96,0,0,50,0.02
97,0,0,50,0.02
98,0,0,50,0.02
99,0,0,50,0.02
100,0,0,50,0.02
101,0,0,50,0.02
102,0,0,50,0.02
103,0,0,50,0.02
104,0,0,50,0.02
105,0,0,50,0.02
106,0,0,50,0.02
107,0,0,50,0.02
108,0,0,50,0.02
109,0,0,50,0.02
110,0,0,50,0.02
111,0,0,50,0.02
112,0,0,50,0.02
113,0,0,50,0.02
114,0,0,50,0.02
115,0,0,50,0.02
116,0,0,50,0.02
117,0,0,50,0.02
118,0,0,50,0.02
119,0,0,50,0.02
120,0,0,50,0.02
