Pol Year,Pol Term,Prem Term,Value
1,25,25,0.15
2,25,25,0.1
3,25,25,0.07
4,25,25,0.05
5,25,25,0.05
6,25,25,0.05
7,25,25,0.05
8,25,25,0.05
9,25,25,0.05
10,25,25,0.05
11,25,25,0.05
12,25,25,0.05
13,25,25,0.05
14,25,25,0.05
15,25,25,0.05
16,25,25,0.05
17,25,25,0.05
18,25,25,0.05
19,25,25,0.05
20,25,25,0.05
21,25,25,0.05
22,25,25,0.05
23,25,25,0.05
24,25,25,0.05
25,25,25,0.05
26,25,25,0.05
27,25,25,0.05
28,25,25,0.05
29,25,25,0.05
30,25,25,0.05
31,25,25,0.05
32,25,25,0.05
33,25,25,0.05
34,25,25,0.05
35,25,25,0.05
36,25,25,0.05
37,25,25,0.05
38,25,25,0.05
39,25,25,0.05
40,25,25,0.05
41,25,25,0.05
42,25,25,0.05
43,25,25,0.05
44,25,25,0.05
45,25,25,0.05
46,25,25,0.05
47,25,25,0.05
48,25,25,0.05
49,25,25,0.05
50,25,25,0.05
51,25,25,0.05
52,25,25,0.05
53,25,25,0.05
54,25,25,0.05
55,25,25,0.05
56,25,25,0.05
57,25,25,0.05
58,25,25,0.05
59,25,25,0.05
60,25,25,0.05
61,25,25,0.05
62,25,25,0.05
63,25,25,0.05
64,25,25,0.05
65,25,25,0.05
66,25,25,0.05
67,25,25,0.05
68,25,25,0.05
69,25,25,0.05
70,25,25,0.05
71,25,25,0.05
72,25,25,0.05
73,25,25,0.05
74,25,25,0.05
75,25,25,0.05
76,25,25,0.05
77,25,25,0.05
78,25,25,0.05
79,25,25,0.05
80,25,25,0.05
81,25,25,0.05
82,25,25,0.05
83,25,25,0.05
84,25,25,0.05
85,25,25,0.05
86,25,25,0.05
87,25,25,0.05
88,25,25,0.05
89,25,25,0.05
90,25,25,0.05
91,25,25,0.05
92,25,25,0.05
93,25,25,0.05
94,25,25,0.05
95,25,25,0.05
96,25,25,0.05
97,25,25,0.05
98,25,25,0.05
99,25,25,0.05
100,25,25,0.05
101,25,25,0.05
102,25,25,0.05
103,25,25,0.05
104,25,25,0.05
105,25,25,0.05
106,25,25,0.05
107,25,25,0.05
108,25,25,0.05
109,25,25,0.05
110,25,25,0.05
111,25,25,0.05
112,25,25,0.05
113,25,25,0.05
114,25,25,0.05
115,25,25,0.05
116,25,25,0.05
117,25,25,0.05
118,25,25,0.05
119,25,25,0.05
120,25,25,0.05
1,55,55,0.15
2,55,55,0.1
3,55,55,0.07
4,55,55,0.05
5,55,55,0.05
6,55,55,0.05
7,55,55,0.05
8,55,55,0.05
9,55,55,0.05
10,55,55,0.05
11,55,55,0.05
12,55,55,0.05
13,55,55,0.05
14,55,55,0.05
15,55,55,0.05
16,55,55,0.05
17,55,55,0.05
18,55,55,0.05
19,55,55,0.05
20,55,55,0.05
21,55,55,0.05
22,55,55,0.05
23,55,55,0.05
24,55,55,0.05
25,55,55,0.05
26,55,55,0.05
27,55,55,0.05
28,55,55,0.05
29,55,55,0.05
30,55,55,0.05
31,55,55,0.05
32,55,55,0.05
33,55,55,0.05
34,55,55,0.05
35,55,55,0.05
36,55,55,0.05
37,55,55,0.05
38,55,55,0.05
39,55,55,0.05
40,55,55,0.05
41,55,55,0.05
42,55,55,0.05
43,55,55,0.05
44,55,55,0.05
45,55,55,0.05
46,55,55,0.05
47,55,55,0.05
48,55,55,0.05
49,55,55,0.05
50,55,55,0.05
51,55,55,0.05
52,55,55,0.05
53,55,55,0.05
54,55,55,0.05
55,55,55,0.05
56,55,55,0.05
57,55,55,0.05
58,55,55,0.05
59,55,55,0.05
60,55,55,0.05
61,55,55,0.05
62,55,55,0.05
63,55,55,0.05
64,55,55,0.05
65,55,55,0.05
66,55,55,0.05
67,55,55,0.05
68,55,55,0.05
69,55,55,0.05
70,55,55,0.05
71,55,55,0.05
72,55,55,0.05
73,55,55,0.05
74,55,55,0.05
75,55,55,0.05
76,55,55,0.05
77,55,55,0.05
78,55,55,0.05
79,55,55,0.05
80,55,55,0.05
81,55,55,0.05
82,55,55,0.05
83,55,55,0.05
84,55,55,0.05
85,55,55,0.05
86,55,55,0.05
87,55,55,0.05
88,55,55,0.05
89,55,55,0.05
90,55,55,0.05
91,55,55,0.05
92,55,55,0.05
93,55,55,0.05
94,55,55,0.05
95,55,55,0.05
96,55,55,0.05
97,55,55,0.05
98,55,55,0.05
99,55,55,0.05
100,55,55,0.05
101,55,55,0.05
102,55,55,0.05
103,55,55,0.05
104,55,55,0.05
105,55,55,0.05
106,55,55,0.05
107,55,55,0.05
108,55,55,0.05
109,55,55,0.05
110,55,55,0.05
111,55,55,0.05
112,55,55,0.05
113,55,55,0.05
114,55,55,0.05
115,55,55,0.05
116,55,55,0.05
117,55,55,0.05
118,55,55,0.05
119,55,55,0.05
120,55,55,0.05
