Age,Unisex
0,0.003107
1,0.000585
2,0.000334
3,0.000251
4,0.000198
5,0.000176
6,0.000159
7,0.000147
8,0.000139
9,0.000132
10,0.000131
11,0.00013
12,0.000133
13,0.000149
14,0.000179
15,0.000232
16,0.000287
17,0.000386
18,0.000386
19,0.000386
20,0.000388
21,0.00039
22,0.000392
23,0.000396
24,0.000401
25,0.000407
26,0.000415
27,0.000425
28,0.000436
29,0.000449
30,0.000465
31,0.000483
32,0.000504
33,0.000529
34,0.000558
35,0.000591
36,0.000629
37,0.000672
38,0.000721
39,0.000778
40,0.000842
41,0.000915
42,0.000998
43,0.001093
44,0.001199
45,0.00132
46,0.001455
47,0.001609
48,0.001782
49,0.001977
50,0.002197
51,0.002443
52,0.002721
53,0.003032
54,0.003381
55,0.003772
56,0.00421
57,0.0047
58,0.005247
59,0.005859
60,0.00654
61,0.007301
62,0.008148
63,0.009091
64,0.010139
65,0.011304
66,0.012597
67,0.014031
68,0.01562
69,0.01738
70,0.019325
71,0.021475
72,0.023848
73,0.026464
74,0.029347
75,0.03252
76,0.036008
77,0.039838
78,0.04404
79,0.048643
80,0.053681
81,0.059189
82,0.065202
83,0.071758
84,0.078897
85,0.086661
86,0.095092
87,0.104235
88,0.114135
89,0.124838
90,0.13639
91,0.148839
92,0.16223
93,0.176608
94,0.192017
95,0.208497
96,0.226085
97,0.244813
98,0.264708
99,0.285789
100,0.308068
101,0.331543
102,0.356201
103,0.382017
104,0.408945
105,0.436923
106,0.465868
107,0.495672
108,0.526204
109,0.557307
110,0.588794
111,0.620456
112,0.652057
113,0.683339
114,0.714029
115,0.743845
116,0.772501
117,0.799724
118,0.825264
119,0.848902
120,1
