#Table Type: Attained Age Sex Distinct
#Table Category: mortality
#Table Details: Attained Age Sex Distinct Mortality Table
Age,Male,Female
0,0.003599,0.002615
1,0.00062,0.00055
2,0.000375,0.000292
3,0.000293,0.000208
4,0.000231,0.000165
5,0.000209,0.000142
6,0.000188,0.000129
7,0.000176,0.000117
8,0.000164,0.000113
9,0.000162,0.000101
10,0.00016,0.000101
11,0.000158,0.000101
12,0.000164,0.000101
13,0.000196,0.000101
14,0.000243,0.000115
15,0.00033,0.000134
16,0.000423,0.000151
17,0.0006,0.000172
18,0.000594,0.000178
19,0.000587,0.000185
20,0.000582,0.000193
21,0.000577,0.000202
22,0.000572,0.000212
23,0.000569,0.000223
24,0.000567,0.000235
25,0.000566,0.000248
26,0.000567,0.000263
27,0.00057,0.000279
28,0.000574,0.000297
29,0.00058,0.000317
30,0.00059,0.000339
31,0.000602,0.000364
32,0.000617,0.000391
33,0.000636,0.000422
34,0.00066,0.000455
35,0.000689,0.000492
36,0.000724,0.000533
37,0.000765,0.000579
38,0.000813,0.000629
39,0.00087,0.000685
40,0.000937,0.000747
41,0.001014,0.000816
42,0.001104,0.000892
43,0.001208,0.000977
44,0.001327,0.00107
45,0.001465,0.001174
46,0.001622,0.001288
47,0.001802,0.001416
48,0.002008,0.001556
49,0.002241,0.001713
50,0.002508,0.001886
51,0.002809,0.002077
52,0.003152,0.00229
53,0.003539,0.002525
54,0.003976,0.002786
55,0.004469,0.003075
56,0.005025,0.003395
57,0.00565,0.003749
58,0.006352,0.004142
59,0.00714,0.004577
60,0.008022,0.005058
61,0.009009,0.005592
62,0.010112,0.006183
63,0.011344,0.006838
64,0.012716,0.007562
65,0.014243,0.008365
66,0.01594,0.009254
67,0.017824,0.010238
68,0.019913,0.011327
69,0.022226,0.012533
70,0.024783,0.013867
71,0.027606,0.015343
72,0.030718,0.016977
73,0.034144,0.018784
74,0.037911,0.020783
75,0.042046,0.022994
76,0.046578,0.025438
77,0.051538,0.028138
78,0.056956,0.031123
79,0.062867,0.034419
80,0.069303,0.038059
81,0.0763,0.042077
82,0.083893,0.04651
83,0.092117,0.051398
84,0.101007,0.056786
85,0.1106,0.062721
86,0.120929,0.069254
87,0.132028,0.076441
88,0.143929,0.08434
89,0.15666,0.093016
90,0.170247,0.102533
91,0.184714,0.112964
92,0.200079,0.124381
93,0.216354,0.136862
94,0.233548,0.150486
95,0.251662,0.165332
96,0.270688,0.181481
97,0.290613,0.199012
98,0.311414,0.218002
99,0.333058,0.23852
100,0.355505,0.26063
101,0.378702,0.284383
102,0.402588,0.309814
103,0.42709,0.336943
104,0.452127,0.365762
105,0.477608,0.396238
106,0.503432,0.428303
107,0.529493,0.461851
108,0.555674,0.496734
109,0.581857,0.532756
110,0.607918,0.56967
111,0.633731,0.607181
112,0.659171,0.644942
113,0.684114,0.682563
114,0.708442,0.719616
115,0.732042,0.755647
116,0.754809,0.790192
117,0.776648,0.8228
118,0.797477,0.85305
119,0.817225,0.880579
120,1,1
