Age,Male Non-Smoker,Male Smoker,Female Non-Smoker,Female Smoker
0, 0.003239 , 0.003959 , 0.002354 , 0.002877 
1, 0.000558 , 0.000682 , 0.000495 , 0.000605 
2, 0.000338 , 0.000413 , 0.000263 , 0.000321 
3, 0.000264 , 0.000322 , 0.000187 , 0.000229 
4, 0.000208 , 0.000254 , 0.000149 , 0.000182 
5, 0.000188 , 0.000230 , 0.000128 , 0.000156 
6, 0.000169 , 0.000207 , 0.000116 , 0.000142 
7, 0.000158 , 0.000194 , 0.000105 , 0.000129 
8, 0.000148 , 0.000180 , 0.000102 , 0.000124 
9, 0.000146 , 0.000178 , 0.000091 , 0.000111 
10, 0.000144 , 0.000176 , 0.000091 , 0.000111 
11, 0.000142 , 0.000174 , 0.000091 , 0.000111 
12, 0.000148 , 0.000180 , 0.000091 , 0.000111 
13, 0.000176 , 0.000216 , 0.000091 , 0.000111 
14, 0.000219 , 0.000267 , 0.000104 , 0.000127 
15, 0.000297 , 0.000363 , 0.000121 , 0.000147 
16, 0.000381 , 0.000465 , 0.000136 , 0.000166 
17, 0.000540 , 0.000660 , 0.000155 , 0.000189 
18, 0.000535 , 0.000653 , 0.000160 , 0.000196 
19, 0.000528 , 0.000646 , 0.000167 , 0.000204 
20, 0.000524 , 0.000640 , 0.000174 , 0.000212 
21, 0.000519 , 0.000635 , 0.000182 , 0.000222 
22, 0.000515 , 0.000629 , 0.000191 , 0.000233 
23, 0.000512 , 0.000626 , 0.000201 , 0.000245 
24, 0.000510 , 0.000624 , 0.000212 , 0.000259 
25, 0.000509 , 0.000623 , 0.000223 , 0.000273 
26, 0.000510 , 0.000624 , 0.000237 , 0.000289 
27, 0.000513 , 0.000627 , 0.000251 , 0.000307 
28, 0.000517 , 0.000631 , 0.000267 , 0.000327 
29, 0.000522 , 0.000638 , 0.000285 , 0.000349 
30, 0.000531 , 0.000649 , 0.000305 , 0.000373 
31, 0.000542 , 0.000662 , 0.000328 , 0.000400 
32, 0.000555 , 0.000679 , 0.000352 , 0.000430 
33, 0.000572 , 0.000700 , 0.000380 , 0.000464 
34, 0.000594 , 0.000726 , 0.000410 , 0.000501 
35, 0.000620 , 0.000758 , 0.000443 , 0.000541 
36, 0.000652 , 0.000796 , 0.000480 , 0.000586 
37, 0.000689 , 0.000842 , 0.000521 , 0.000637 
38, 0.000732 , 0.000894 , 0.000566 , 0.000692 
39, 0.000783 , 0.000957 , 0.000617 , 0.000754 
40, 0.000843 , 0.001031 , 0.000672 , 0.000822 
41, 0.000913 , 0.001115 , 0.000734 , 0.000898 
42, 0.000994 , 0.001214 , 0.000803 , 0.000981 
43, 0.001087 , 0.001329 , 0.000879 , 0.001075 
44, 0.001194 , 0.001460 , 0.000963 , 0.001177 
45, 0.001319 , 0.001612 , 0.001057 , 0.001291 
46, 0.001460 , 0.001784 , 0.001159 , 0.001417 
47, 0.001622 , 0.001982 , 0.001274 , 0.001558 
48, 0.001807 , 0.002209 , 0.001400 , 0.001712 
49, 0.002017 , 0.002465 , 0.001542 , 0.001884 
50, 0.002257 , 0.002759 , 0.001697 , 0.002075 
51, 0.002528 , 0.003090 , 0.001869 , 0.002285 
52, 0.002837 , 0.003467 , 0.002061 , 0.002519 
