Issue Age,Pol Term,Prem Term,Value
1,25,25,20
2,25,25,20
3,25,25,20
4,25,25,20
5,25,25,20
6,25,25,20
7,25,25,20
8,25,25,20
9,25,25,20
10,25,25,20
11,25,25,20
12,25,25,20
13,25,25,20
14,25,25,20
15,25,25,20
16,25,25,20
17,25,25,20
18,25,25,20
19,25,25,20
20,25,25,20
21,25,25,20
22,25,25,20
23,25,25,20
24,25,25,20
25,25,25,20
26,25,25,20
27,25,25,20
28,25,25,20
29,25,25,20
30,25,25,20
31,25,25,20
32,25,25,20
33,25,25,20
34,25,25,20
35,25,25,20
36,25,25,20
37,25,25,20
38,25,25,20
39,25,25,20
40,25,25,20
41,25,25,20
42,25,25,20
43,25,25,20
44,25,25,20
45,25,25,20
46,25,25,20
47,25,25,20
48,25,25,20
49,25,25,20
50,25,25,20
51,25,25,20
52,25,25,20
53,25,25,20
54,25,25,20
55,25,25,20
56,25,25,20
57,25,25,20
58,25,25,20
59,25,25,20
60,25,25,20
61,25,25,20
62,25,25,20
63,25,25,20
64,25,25,20
65,25,25,20
66,25,25,20
67,25,25,20
68,25,25,20
69,25,25,20
70,25,25,20
71,25,25,20
72,25,25,20
73,25,25,20
74,25,25,20
75,25,25,20
76,25,25,20
77,25,25,20
78,25,25,20
79,25,25,20
80,25,25,20
81,25,25,20
82,25,25,20
83,25,25,20
84,25,25,20
85,25,25,20
86,25,25,20
87,25,25,20
88,25,25,20
89,25,25,20
90,25,25,20
91,25,25,20
92,25,25,20
93,25,25,20
94,25,25,20
95,25,25,20
96,25,25,20
97,25,25,20
98,25,25,20
99,25,25,20
100,25,25,20
101,25,25,20
102,25,25,20
103,25,25,20
104,25,25,20
105,25,25,20
106,25,25,20
107,25,25,20
108,25,25,20
109,25,25,20
110,25,25,20
111,25,25,20
112,25,25,20
113,25,25,20
114,25,25,20
115,25,25,20
116,25,25,20
117,25,25,20
118,25,25,20
119,25,25,20
120,25,25,20
1,55,55,20
2,55,55,20
3,55,55,20
4,55,55,20
5,55,55,20
6,55,55,20
7,55,55,20
8,55,55,20
9,55,55,20
10,55,55,20
11,55,55,20
12,55,55,20
13,55,55,20
14,55,55,20
15,55,55,20
16,55,55,20
17,55,55,20
18,55,55,20
19,55,55,20
20,55,55,20
21,55,55,20
22,55,55,20
23,55,55,20
24,55,55,20
25,55,55,20
26,55,55,20
27,55,55,20
28,55,55,20
29,55,55,20
30,55,55,20
31,55,55,20
32,55,55,20
33,55,55,20
34,55,55,20
35,55,55,20
36,55,55,20
37,55,55,20
38,55,55,20
39,55,55,20
40,55,55,20
41,55,55,20
42,55,55,20
43,55,55,20
44,55,55,20
45,55,55,20
46,55,55,20
47,55,55,20
48,55,55,20
49,55,55,20
50,55,55,20
51,55,55,20
52,55,55,20
53,55,55,20
54,55,55,20
55,55,55,20
56,55,55,20
57,55,55,20
58,55,55,20
59,55,55,20
60,55,55,20
61,55,55,20
62,55,55,20
63,55,55,20
64,55,55,20
65,55,55,20
66,55,55,20
67,55,55,20
68,55,55,20
69,55,55,20
70,55,55,20
71,55,55,20
72,55,55,20
73,55,55,20
74,55,55,20
75,55,55,20
76,55,55,20
77,55,55,20
78,55,55,20
79,55,55,20
80,55,55,20
81,55,55,20
82,55,55,20
83,55,55,20
84,55,55,20
85,55,55,20
86,55,55,20
87,55,55,20
88,55,55,20
89,55,55,20
90,55,55,20
91,55,55,20
92,55,55,20
93,55,55,20
94,55,55,20
95,55,55,20
96,55,55,20
97,55,55,20
98,55,55,20
99,55,55,20
100,55,55,20
101,55,55,20
102,55,55,20
103,55,55,20
104,55,55,20
105,55,55,20
106,55,55,20
107,55,55,20
108,55,55,20
109,55,55,20
110,55,55,20
111,55,55,20
112,55,55,20
113,55,55,20
114,55,55,20
115,55,55,20
116,55,55,20
117,55,55,20
118,55,55,20
119,55,55,20
120,55,55,20
