#Table Type: Policy Year
#Table Category: prem_tax
#Table Details: Premium Tax Rate Table
Pol Year,Value
1,0.035
2,0.035
3,0.035
4,0.035
5,0.035
6,0.035
7,0.035
8,0.035
9,0.035
10,0.035
11,0.035
12,0.035
13,0.035
14,0.035
15,0.035
16,0.035
17,0.035
18,0.035
19,0.035
20,0.035
21,0.035
22,0.035
23,0.035
24,0.035
25,0.035
26,0.035
27,0.035
28,0.035
29,0.035
30,0.035
31,0.035
32,0.035
33,0.035
34,0.035
35,0.035
36,0.035
37,0.035
38,0.035
39,0.035
40,0.035
41,0.035
42,0.035
43,0.035
44,0.035
45,0.035
46,0.035
47,0.035
48,0.035
49,0.035
50,0.035
51,0.035
52,0.035
53,0.035
54,0.035
55,0.035
56,0.035
57,0.035
58,0.035
59,0.035
60,0.035
61,0.035
62,0.035
63,0.035
64,0.035
65,0.035
66,0.035
67,0.035
68,0.035
69,0.035
70,0.035
71,0.035
72,0.035
73,0.035
74,0.035
75,0.035
76,0.035
77,0.035
78,0.035
79,0.035
80,0.035
81,0.035
82,0.035
83,0.035
84,0.035
85,0.035
86,0.035
87,0.035
88,0.035
89,0.035
90,0.035
91,0.035
92,0.035
93,0.035
94,0.035
95,0.035
96,0.035
97,0.035
98,0.035
99,0.035
100,0.035
101,0.035
102,0.035
103,0.035
104,0.035
105,0.035
106,0.035
107,0.035
108,0.035
109,0.035
110,0.035
111,0.035
112,0.035
113,0.035
114,0.035
115,0.035
116,0.035
117,0.035
118,0.035
119,0.035
120,0.035
